Execução = 0
1000 1.20 ms
2000 3.60 ms
3000 7.40 ms
4000 13.60 ms
5000 21.00 ms
6000 18.40 ms
7000 26.60 ms
8000 36.60 ms
9000 43.00 ms
10000 64.60 ms

Execução = 1
1000 1.80 ms
2000 3.60 ms
3000 6.60 ms
4000 9.20 ms
5000 13.00 ms
6000 19.60 ms
7000 27.20 ms
8000 31.80 ms
9000 40.40 ms
10000 45.60 ms

Execução = 2
1000 1.60 ms
2000 4.40 ms
3000 7.00 ms
4000 10.60 ms
5000 15.40 ms
6000 18.60 ms
7000 26.80 ms
8000 39.80 ms
9000 45.60 ms
10000 54.60 ms

Execução = 3
1000 2.40 ms
2000 3.20 ms
3000 5.60 ms
4000 9.80 ms
5000 16.80 ms
6000 22.40 ms
7000 26.60 ms
8000 31.40 ms
9000 38.80 ms
10000 43.80 ms

Execução = 4
1000 2.60 ms
2000 3.80 ms
3000 6.80 ms
4000 10.80 ms
5000 12.80 ms
6000 25.60 ms
7000 37.40 ms
8000 31.00 ms
9000 36.40 ms
10000 51.60 ms

Execução = 5
1000 0.80 ms
2000 2.60 ms
3000 6.00 ms
4000 20.20 ms
5000 15.60 ms
6000 17.60 ms
7000 22.40 ms
8000 29.00 ms
9000 38.60 ms
10000 42.40 ms

Execução = 6
1000 1.80 ms
2000 3.00 ms
3000 6.20 ms
4000 8.20 ms
5000 13.00 ms
6000 15.00 ms
7000 23.40 ms
8000 28.60 ms
9000 34.60 ms
10000 45.00 ms

Execução = 7
1000 1.80 ms
2000 3.80 ms
3000 6.00 ms
4000 9.20 ms
5000 13.80 ms
6000 17.40 ms
7000 28.40 ms
8000 32.80 ms
9000 59.60 ms
10000 42.80 ms

Execução = 8
1000 2.40 ms
2000 3.80 ms
3000 4.80 ms
4000 9.20 ms
5000 12.80 ms
6000 16.40 ms
7000 21.00 ms
8000 44.40 ms
9000 29.20 ms
10000 41.80 ms

Execução = 9
1000 1.60 ms
2000 4.20 ms
3000 4.80 ms
4000 7.80 ms
5000 14.20 ms
6000 17.60 ms
7000 20.00 ms
8000 27.00 ms
9000 28.20 ms
10000 35.40 ms

