Execução = 0
1000 3.20 ms
2000 5.80 ms
3000 4.00 ms
4000 7.20 ms
5000 7.60 ms
6000 8.60 ms
7000 14.00 ms
8000 6.60 ms
9000 18.20 ms
10000 9.80 ms

Execução = 1
1000 0.00 ms
2000 1.00 ms
3000 2.40 ms
4000 5.80 ms
5000 4.20 ms
6000 9.00 ms
7000 6.40 ms
8000 15.80 ms
9000 26.00 ms
10000 25.20 ms

Execução = 2
1000 0.80 ms
2000 1.80 ms
3000 2.00 ms
4000 2.40 ms
5000 5.00 ms
6000 3.80 ms
7000 6.00 ms
8000 8.40 ms
9000 18.00 ms
10000 27.20 ms

Execução = 3
1000 0.00 ms
2000 1.40 ms
3000 3.20 ms
4000 2.80 ms
5000 3.80 ms
6000 5.20 ms
7000 9.00 ms
8000 11.00 ms
9000 22.60 ms
10000 13.40 ms

Execução = 4
1000 0.20 ms
2000 2.40 ms
3000 4.60 ms
4000 23.60 ms
5000 3.80 ms
6000 7.60 ms
7000 10.40 ms
8000 18.80 ms
9000 28.80 ms
10000 14.40 ms

Execução = 5
1000 0.80 ms
2000 1.20 ms
3000 3.00 ms
4000 3.80 ms
5000 5.40 ms
6000 10.20 ms
7000 11.80 ms
8000 22.60 ms
9000 27.40 ms
10000 16.60 ms

Execução = 6
1000 0.40 ms
2000 1.40 ms
3000 7.40 ms
4000 8.60 ms
5000 14.40 ms
6000 17.80 ms
7000 11.60 ms
8000 16.80 ms
9000 31.80 ms
10000 23.80 ms

Execução = 7
1000 1.20 ms
2000 3.80 ms
3000 5.60 ms
4000 14.20 ms
5000 7.80 ms
6000 38.20 ms
7000 23.20 ms
8000 17.60 ms
9000 14.40 ms
10000 16.80 ms

Execução = 8
1000 1.00 ms
2000 5.20 ms
3000 3.20 ms
4000 3.80 ms
5000 9.20 ms
6000 41.20 ms
7000 8.60 ms
8000 21.80 ms
9000 19.60 ms
10000 15.40 ms

Execução = 9
1000 1.00 ms
2000 4.00 ms
3000 6.60 ms
4000 7.20 ms
5000 12.60 ms
6000 7.20 ms
7000 11.20 ms
8000 12.80 ms
9000 19.00 ms
10000 26.00 ms

