Execução = 0
1000 0.20 ms
2000 1.00 ms
3000 2.20 ms
4000 4.40 ms
5000 7.80 ms
6000 6.60 ms
7000 8.80 ms
8000 29.80 ms
9000 16.20 ms
10000 18.20 ms

Execução = 1
1000 1.00 ms
2000 1.80 ms
3000 3.40 ms
4000 4.40 ms
5000 5.40 ms
6000 13.20 ms
7000 10.00 ms
8000 11.00 ms
9000 19.40 ms
10000 18.60 ms

Execução = 2
1000 1.00 ms
2000 2.20 ms
3000 3.00 ms
4000 3.20 ms
5000 7.00 ms
6000 9.20 ms
7000 13.00 ms
8000 14.80 ms
9000 18.00 ms
10000 33.40 ms

Execução = 3
1000 1.40 ms
2000 2.60 ms
3000 4.40 ms
4000 12.40 ms
5000 17.80 ms
6000 19.60 ms
7000 27.20 ms
8000 39.40 ms
9000 29.20 ms
10000 32.60 ms

Execução = 4
1000 1.00 ms
2000 2.20 ms
3000 4.20 ms
4000 8.20 ms
5000 9.60 ms
6000 16.60 ms
7000 24.20 ms
8000 19.20 ms
9000 17.80 ms
10000 62.00 ms

Execução = 5
1000 0.80 ms
2000 1.60 ms
3000 4.20 ms
4000 5.80 ms
5000 8.00 ms
6000 15.20 ms
7000 28.80 ms
8000 20.20 ms
9000 24.40 ms
10000 22.20 ms

Execução = 6
1000 3.00 ms
2000 3.80 ms
3000 4.60 ms
4000 4.60 ms
5000 15.80 ms
6000 15.80 ms
7000 12.80 ms
8000 23.60 ms
9000 25.00 ms
10000 35.00 ms

Execução = 7
1000 1.40 ms
2000 2.20 ms
3000 4.20 ms
4000 7.00 ms
5000 8.40 ms
6000 13.60 ms
7000 13.60 ms
8000 18.80 ms
9000 20.60 ms
10000 21.60 ms

Execução = 8
1000 1.00 ms
2000 2.60 ms
3000 4.00 ms
4000 4.20 ms
5000 8.80 ms
6000 8.40 ms
7000 17.20 ms
8000 12.80 ms
9000 17.00 ms
10000 25.40 ms

Execução = 9
1000 1.40 ms
2000 2.40 ms
3000 4.60 ms
4000 5.00 ms
5000 7.40 ms
6000 9.80 ms
7000 10.80 ms
8000 18.20 ms
9000 19.00 ms
10000 28.00 ms


